test_index,condition,question,status,duration_seconds,total_tokens
1,with_a2ui,Book me a hotel in Bangkok. Ask for my travel dates before searching.,ok,31.3,38597
2,with_a2ui,Find me flights to Shanghai and sort them by the shortest travel time.,timeout,188.9,0
3,with_a2ui,"Recommend three hotels in Singapore and compare their prices, ratings, and locations.",error,0.0,0
4,with_a2ui,I want to buy a gaming laptop. Show me several options and explain the pros and cons of each.,ok,103.9,84438
5,with_a2ui,Help me plan a food tour in Penang. Ask me what cuisines I like first.,ok,31.2,57664
6,with_a2ui,Find attractions in Kyoto and organize them into a 3-day itinerary.,ok,69.6,212832
7,with_a2ui,"I need a hotel with free breakfast, a swimming pool, and Wi-Fi. Don't recommend anything until you ask my budget.",timeout,188.7,0
8,with_a2ui,"I want to plan a vacation, but I'm not sure where to go. Ask me a few questions before making recommendations.",ok,33.0,40818
9,with_a2ui,Recommend a smartphone for me. Don't suggest anything until you've asked about my budget and what I use it for.,ok,16.2,37666
10,with_a2ui,"Help me choose a university in Australia. Ask about my preferred course, budget, and career goals before recommending one.",ok,34.0,40376
11,with_a2ui,Recommend five restaurants in Seoul based on my preferences. Ask what cuisine I enjoy before searching.,ok,16.2,37638
12,with_a2ui,Help me organize a café-hopping trip in Singapore. Suggest the most efficient route between cafés.,timeout,188.7,200935
13,with_a2ui,Find restaurants near Marina Bay Sands that have at least a 4.5-star rating and cost less than SGD 50 per person.,timeout,189.0,175167
14,with_a2ui,"I'm planning a family vacation with young children. Ask enough questions before recommending destinations, hotels, and activities.",ok,39.9,117137
15,with_a2ui,"Help me organize a business trip to Shanghai. Book a flight, recommend hotels near the exhibition center, and suggest nearby restaurants.",ok,34.1,78233
16,with_a2ui,"I have SGD 3,000 for a vacation. Recommend the best destination based on weather, flight prices, and attractions during my travel dates.",ok,34.5,93363
17,with_a2ui,"Plan my honeymoon in Italy. Ask about our budget, travel dates, interests, preferred hotel type, and flight preferences before creating a complete itinerary.",ok,32.0,40513
18,with_a2ui,I'm buying a DSLR camera. Interview me like a salesperson before recommending the best camera and lenses.,ok,40.8,118452
19,with_a2ui,"Help me move to a new apartment. Create a checklist, recommend moving companies, estimate costs, and suggest a timeline.",ok,89.2,392911
20,with_a2ui,"I'm organizing a company offsite for 30 people. Find suitable venues, nearby hotels, transportation options, and restaurants, then compare them.",ok,27.9,77603
21,with_a2ui,"Plan a weekend trip where the total budget (hotel, transport, food, and attractions) stays under SGD 500.",ok,40.3,197192
22,with_a2ui,"Search for electric vehicles available in Singapore and compare purchase price, government rebates, range, charging time, and maintenance costs.",ok,18.3,117639
