test_index,question,input_tokens_exp1,input_tokens_exp2,input_tokens_exp3,input_tokens_exp4,input_tokens_exp5,output_tokens_exp1,output_tokens_exp2,output_tokens_exp3,output_tokens_exp4,output_tokens_exp5,total_tokens_exp1,total_tokens_exp2,total_tokens_exp3,total_tokens_exp4,total_tokens_exp5,mean_total_tokens,stdev_total_tokens,status_exp1,status_exp2,status_exp3,status_exp4,status_exp5
1,Book me a hotel in Bangkok. Ask for my travel dates before searching.,37484,0,0,37484,228738,1678,0,0,1841,1522,39162,0,0,39325,230260,61749.4,96222.2,ok,error,timeout,ok,timeout
2,Find me flights to Shanghai and sort them by the shortest travel time.,37483,37483,37483,151726,76738,1708,2254,1247,2418,1489,39191,39737,38730,154144,78227,70005.8,49976.9,ok,ok,ok,ok,ok
3,"Recommend three hotels in Singapore and compare their prices, ratings, and locations.",115298,0,197998,37484,290980,745,0,1428,345,5903,116043,0,199426,37829,296883,130036.2,120685.7,timeout,error,ok,timeout,ok
4,I want to buy a gaming laptop. Show me several options and explain the pros and cons of each.,76801,168026,75690,124634,288865,3068,4813,3800,4313,1615,79869,172839,79490,128947,290480,150325,87448.5,ok,ok,ok,ok,ok
5,Help me plan a food tour in Penang. Ask me what cuisines I like first.,37489,37489,37489,88768,37515,2410,484,2436,9845,2117,39899,37973,39925,98613,39632,51208.4,26512.3,ok,ok,ok,ok,ok
6,Find attractions in Kyoto and organize them into a 3-day itinerary.,221157,124895,124176,181154,290952,5760,2532,1865,4514,3394,226917,127427,126041,185668,294346,192079.8,71158.7,ok,ok,ok,ok,ok
7,"I need a hotel with free breakfast, a swimming pool, and Wi-Fi. Don't recommend anything until you ask my budget.",37495,37495,37495,37495,37521,1232,2009,872,152,193,38727,39504,38367,37647,37714,38391.8,768.8,ok,ok,ok,ok,ok
8,"I want to plan a vacation, but I'm not sure where to go. Ask me a few questions before making recommendations.",37858,49153,37494,0,218649,1870,5025,2153,0,6443,39728,54178,39647,0,225092,71729,88071.9,ok,ok,ok,timeout,ok
9,Recommend a smartphone for me. Don't suggest anything until you've asked about my budget and what I use it for.,37493,37493,37493,37493,0,220,278,251,332,0,37713,37771,37744,37825,0,30210.6,16888.3,ok,ok,ok,ok,ok
10,"Help me choose a university in Australia. Ask about my preferred course, budget, and career goals before recommending one.",37492,37492,37492,75351,37519,1767,2479,2330,2853,1478,39259,39971,39822,78204,38997,47250.6,17308.1,ok,ok,ok,ok,ok
11,Recommend five restaurants in Seoul based on my preferences. Ask what cuisine I enjoy before searching.,37487,75140,49426,37487,37513,283,1363,3722,1116,285,37770,76503,53148,38603,37798,48764.4,16830.3,ok,ok,ok,ok,ok
12,Help me organize a café-hopping trip in Singapore. Suggest the most efficient route between cafés.,161355,316343,78362,77051,0,2280,8937,3124,5244,0,163635,325280,81486,82295,0,130539.2,123281.7,ok,ok,timeout,ok,timeout
13,Find restaurants near Marina Bay Sands that have at least a 4.5-star rating and cost less than SGD 50 per person.,0,37496,37496,75505,75541,0,340,282,584,627,0,37836,37778,76089,76168,45574.2,31877.9,timeout,timeout,ok,timeout,timeout
