test_index,question,input_tokens_exp1,input_tokens_exp2,input_tokens_exp3,input_tokens_exp4,input_tokens_exp5,output_tokens_exp1,output_tokens_exp2,output_tokens_exp3,output_tokens_exp4,output_tokens_exp5,total_tokens_exp1,total_tokens_exp2,total_tokens_exp3,total_tokens_exp4,total_tokens_exp5,mean_total_tokens,stdev_total_tokens,status_exp1,status_exp2,status_exp3,status_exp4,status_exp5
1,Book me a hotel in Bangkok. Ask for my travel dates before searching.,27954,27928,27928,0,27954,473,417,674,0,379,28427,28345,28602,0,28333,22741.4,12713.3,ok,ok,ok,error,ok
2,Find me flights to Shanghai and sort them by the shortest travel time.,0,27927,27927,0,27953,0,335,406,0,769,0,28262,28333,0,28722,17063.4,15577.7,error,ok,ok,error,ok
3,"Recommend three hotels in Singapore and compare their prices, ratings, and locations.",121318,57334,85334,0,56209,1250,1018,828,0,511,122568,58352,86162,0,56720,64760.4,44998.3,timeout,ok,timeout,error,timeout
4,I want to buy a gaming laptop. Show me several options and explain the pros and cons of each.,238557,84790,86466,0,60010,3321,789,1170,0,1792,241878,85579,87636,0,61802,95379,89222.4,ok,timeout,ok,error,ok
5,Help me plan a food tour in Penang. Ask me what cuisines I like first.,27959,27933,27933,0,27959,281,275,210,0,240,28240,28208,28143,0,28199,22558,12610.4,ok,ok,ok,error,ok
6,Find attractions in Kyoto and organize them into a 3-day itinerary.,98117,89952,0,0,87510,2085,1832,0,0,1248,100202,91784,0,0,88758,56148.8,51427.8,ok,ok,ok,error,ok
7,"I need a hotel with free breakfast, a swimming pool, and Wi-Fi. Don't recommend anything until you ask my budget.",27965,27939,27939,0,27965,103,172,162,0,128,28068,28111,28101,0,28093,22474.6,12563.7,ok,ok,ok,error,ok
8,"I want to plan a vacation, but I'm not sure where to go. Ask me a few questions before making recommendations.",90930,27938,27938,0,27964,2013,408,711,0,368,92943,28346,28649,0,28332,35654,34312.3,ok,ok,ok,error,ok
9,Recommend a smartphone for me. Don't suggest anything until you've asked about my budget and what I use it for.,258612,167592,27937,0,27963,9069,3299,225,0,228,267681,170891,28162,0,28191,98985,115601.2,ok,ok,ok,error,ok
10,"Help me choose a university in Australia. Ask about my preferred course, budget, and career goals before recommending one.",0,27936,27936,0,27962,0,348,336,0,536,0,28284,28272,0,28498,17010.8,15528.9,error,ok,ok,error,ok
11,Recommend five restaurants in Seoul based on my preferences. Ask what cuisine I enjoy before searching.,27957,27931,27931,0,27957,153,253,204,0,218,28110,28184,28135,0,28175,22520.8,12589.5,ok,ok,ok,error,ok
12,Help me organize a café-hopping trip in Singapore. Suggest the most efficient route between cafés.,130359,188374,152370,0,367581,4210,3092,3282,0,6757,134569,191466,155652,0,374338,171205,134693.0,ok,ok,ok,error,ok
13,Find restaurants near Marina Bay Sands that have at least a 4.5-star rating and cost less than SGD 50 per person.,207622,27940,92032,0,137064,1734,459,1222,0,1471,209356,28399,93254,0,138535,93908.8,84306.6,timeout,timeout,ok,error,timeout
14,"I'm planning a family vacation with young children. Ask enough questions before recommending destinations, hotels, and activities.",27961,27935,86349,0,106986,678,585,1160,0,2308,28639,28520,87509,0,109294,50792.4,45654.3,ok,ok,ok,error,ok
15,"Help me organize a business trip to Shanghai. Book a flight, recommend hotels near the exhibition center, and suggest nearby restaurants.",56425,56138,27938,0,0,823,718,547,0,0,57248,56856,28485,0,0,28517.8,28526.3,ok,ok,ok,error,error
16,"I have SGD 3,000 for a vacation. Recommend the best destination based on weather, flight prices, and attractions during my travel dates.",27968,56321,0,0,27968,364,687,0,0,330,28332,57008,0,0,28298,22727.6,23825.8,ok,ok,timeout,error,ok
17,"Plan my honeymoon in Italy. Ask about our budget, travel dates, interests, preferred hotel type, and flight preferences before creating a complete itinerary.",27969,27943,27943,0,27969,473,882,449,0,390,28442,28825,28392,0,28359,22803.6,12749.0,ok,ok,ok,error,ok
18,I'm buying a DSLR camera. Interview me like a salesperson before recommending the best camera and lenses.,27961,27935,27935,0,27961,429,511,442,0,670,28390,28446,28377,0,28631,22768.8,12728.6,ok,ok,ok,error,ok
19,"Help me move to a new apartment. Create a checklist, recommend moving companies, estimate costs, and suggest a timeline.",241479,114676,56485,0,56510,4289,1616,732,0,933,245768,116292,57217,0,57443,95344,93604.0,ok,ok,ok,error,ok
20,"I'm organizing a company offsite for 30 people. Find suitable venues, nearby hotels, transportation options, and restaurants, then compare them.",27968,121596,27942,0,27968,712,3949,775,0,468,28680,125545,28717,0,28436,42275.6,48169.6,ok,ok,ok,error,ok
21,"Plan a weekend trip where the total budget (hotel, transport, food, and attractions) stays under SGD 500.",84583,60538,27938,0,27964,829,721,300,0,693,85412,61259,28238,0,28657,40713.2,33085.7,ok,ok,ok,error,ok
22,"Search for electric vehicles available in Singapore and compare purchase price, government rebates, range, charging time, and maintenance costs.",0,0,177097,0,56431,0,0,2614,0,1056,0,0,179711,0,57487,47439.6,78019.6,error,ok,ok,error,timeout
23,Find three travel insurance plans for my trip to Japan and explain which one is best for my needs after asking about my travel duration and activities.,61449,85077,27941,0,27967,1174,945,299,0,357,62623,86022,28240,0,28324,41041.8,33537.4,ok,ok,ok,error,ok
24,"Help me buy a bicycle. Ask about my height, riding style, terrain, and budget before recommending suitable models.",27962,27936,0,0,27962,567,267,0,0,341,28529,28203,0,0,28303,17007,15525.6,ok,ok,error,error,ok
25,"Build me a complete PC for AI development with a SGD 3,000 budget. Compare components, compatibility, and performance.",56368,56361,56680,0,27964,838,997,1320,0,636,57206,57358,58000,0,28600,40232.8,25744.1,timeout,timeout,timeout,error,timeout
26,"Help me plan a ski trip. Ask about my skiing experience, preferred country, budget, and travel dates before recommending resorts, hotels, equipment rental, and flights.",27972,27946,27946,0,27972,364,295,592,0,427,28336,28241,28538,0,28399,22702.8,12691.7,ok,ok,ok,error,ok
27,"Find the cheapest MacBook Air on Apple's website, then compare it with offers from authorized retailers.",30256,305447,285598,0,158580,160,4031,9735,0,3462,30416,309478,295333,0,162042,159453.8,144094.9,error,ok,ok,error,ok
28,"Search for Taylor Swift concert tickets. If multiple ticket websites are available, compare prices and seat availability.",94575,0,175818,0,220771,1283,0,1857,0,4630,95858,0,177675,0,225401,99786.8,102195.6,ok,ok,ok,error,ok
29,I want to apply for a tourist visa to Japan. Guide me through the application process and ask for any required information before proceeding.,175778,27939,27939,0,56863,1952,515,401,0,857,177730,28454,28340,0,57720,58448.8,69733.5,ok,ok,ok,error,ok
30,"Help me register for a marathon. Search for upcoming races near Singapore, compare registration fees, and guide me through the registration process.",85013,202281,540703,0,151779,702,1946,7037,0,1644,85715,204227,547740,0,153423,198221,209854.5,timeout,timeout,ok,error,ok
