test_index,condition,question,status,duration_seconds,total_tokens
1,with_a2ui,Book me a hotel in Bangkok. Ask for my travel dates before searching.,timeout,188.4,230260
2,with_a2ui,Find me flights to Shanghai and sort them by the shortest travel time.,ok,14.0,78227
3,with_a2ui,"Recommend three hotels in Singapore and compare their prices, ratings, and locations.",ok,59.4,296883
4,with_a2ui,I want to buy a gaming laptop. Show me several options and explain the pros and cons of each.,ok,78.8,290480
5,with_a2ui,Help me plan a food tour in Penang. Ask me what cuisines I like first.,ok,27.9,39632
6,with_a2ui,Find attractions in Kyoto and organize them into a 3-day itinerary.,ok,76.6,294346
7,with_a2ui,"I need a hotel with free breakfast, a swimming pool, and Wi-Fi. Don't recommend anything until you ask my budget.",ok,17.2,37714
8,with_a2ui,"I want to plan a vacation, but I'm not sure where to go. Ask me a few questions before making recommendations.",ok,63.2,225092
9,with_a2ui,Recommend a smartphone for me. Don't suggest anything until you've asked about my budget and what I use it for.,ok,8.4,0
10,with_a2ui,"Help me choose a university in Australia. Ask about my preferred course, budget, and career goals before recommending one.",ok,12.6,38997
11,with_a2ui,Recommend five restaurants in Seoul based on my preferences. Ask what cuisine I enjoy before searching.,ok,8.2,37798
12,with_a2ui,Help me organize a café-hopping trip in Singapore. Suggest the most efficient route between cafés.,timeout,188.1,0
13,with_a2ui,Find restaurants near Marina Bay Sands that have at least a 4.5-star rating and cost less than SGD 50 per person.,timeout,188.9,76168
14,with_a2ui,"I'm planning a family vacation with young children. Ask enough questions before recommending destinations, hotels, and activities.",ok,30.2,76241
15,with_a2ui,"Help me organize a business trip to Shanghai. Book a flight, recommend hotels near the exhibition center, and suggest nearby restaurants.",ok,28.0,38791
16,with_a2ui,"I have SGD 3,000 for a vacation. Recommend the best destination based on weather, flight prices, and attractions during my travel dates.",ok,23.8,75753
17,with_a2ui,"Plan my honeymoon in Italy. Ask about our budget, travel dates, interests, preferred hotel type, and flight preferences before creating a complete itinerary.",ok,33.4,40439
18,with_a2ui,I'm buying a DSLR camera. Interview me like a salesperson before recommending the best camera and lenses.,ok,77.0,220240
19,with_a2ui,"Help me move to a new apartment. Create a checklist, recommend moving companies, estimate costs, and suggest a timeline.",ok,23.6,76175
20,with_a2ui,"I'm organizing a company offsite for 30 people. Find suitable venues, nearby hotels, transportation options, and restaurants, then compare them.",ok,19.5,38160
21,with_a2ui,"Plan a weekend trip where the total budget (hotel, transport, food, and attractions) stays under SGD 500.",ok,30.1,37778
22,with_a2ui,"Search for electric vehicles available in Singapore and compare purchase price, government rebates, range, charging time, and maintenance costs.",timeout,189.0,566485
23,with_a2ui,Find three travel insurance plans for my trip to Japan and explain which one is best for my needs after asking about my travel duration and activities.,ok,22.8,37724
24,with_a2ui,"Help me buy a bicycle. Ask about my height, riding style, terrain, and budget before recommending suitable models.",ok,86.9,580652
25,with_a2ui,"Build me a complete PC for AI development with a SGD 3,000 budget. Compare components, compatibility, and performance.",ok,28.9,185953
26,with_a2ui,"Help me plan a ski trip. Ask about my skiing experience, preferred country, budget, and travel dates before recommending resorts, hotels, equipment rental, and flights.",ok,45.7,114310
27,with_a2ui,"Find the cheapest MacBook Air on Apple's website, then compare it with offers from authorized retailers.",timeout,188.3,221011
28,with_a2ui,"Search for Taylor Swift concert tickets. If multiple ticket websites are available, compare prices and seat availability.",ok,22.9,262166
29,with_a2ui,I want to apply for a tourist visa to Japan. Guide me through the application process and ask for any required information before proceeding.,ok,36.1,131860
30,with_a2ui,"Help me register for a marathon. Search for upcoming races near Singapore, compare registration fees, and guide me through the registration process.",ok,15.0,174478
1,without_a2ui,Book me a hotel in Bangkok. Ask for my travel dates before searching.,ok,25.0,28333
2,without_a2ui,Find me flights to Shanghai and sort them by the shortest travel time.,ok,21.7,28722
3,without_a2ui,"Recommend three hotels in Singapore and compare their prices, ratings, and locations.",timeout,188.4,56720
4,without_a2ui,I want to buy a gaming laptop. Show me several options and explain the pros and cons of each.,ok,37.8,61802
5,without_a2ui,Help me plan a food tour in Penang. Ask me what cuisines I like first.,ok,20.5,28199
6,without_a2ui,Find attractions in Kyoto and organize them into a 3-day itinerary.,ok,64.1,88758
7,without_a2ui,"I need a hotel with free breakfast, a swimming pool, and Wi-Fi. Don't recommend anything until you ask my budget.",ok,25.1,28093
8,without_a2ui,"I want to plan a vacation, but I'm not sure where to go. Ask me a few questions before making recommendations.",ok,20.8,28332
9,without_a2ui,Recommend a smartphone for me. Don't suggest anything until you've asked about my budget and what I use it for.,ok,17.3,28191
10,without_a2ui,"Help me choose a university in Australia. Ask about my preferred course, budget, and career goals before recommending one.",ok,20.7,28498
11,without_a2ui,Recommend five restaurants in Seoul based on my preferences. Ask what cuisine I enjoy before searching.,ok,19.8,28175
12,without_a2ui,Help me organize a café-hopping trip in Singapore. Suggest the most efficient route between cafés.,ok,46.8,374338
13,without_a2ui,Find restaurants near Marina Bay Sands that have at least a 4.5-star rating and cost less than SGD 50 per person.,timeout,188.5,138535
